EmployeeID,HireDate
E0002,2021-01-01
E0091,2021-02-01
E0018,2021-02-05
E0134,2021-02-09
E0019,2021-02-15
E0161,2021-03-07
E0032,2021-03-10
E0227,2021-03-21
E0191,2021-03-23
E0056,2021-03-24
E0040,2021-04-22
E0089,2021-04-23
E0221,2021-04-24
E0174,2021-05-12
E0291,2021-05-13
E0125,2021-05-17
E0271,2021-05-30
E0090,2021-06-09
E0189,2021-06-18
E0094,2021-06-27
E0158,2021-07-04
E0208,2021-07-05
E0115,2021-07-15
E0012,2021-07-18
E0175,2021-09-16
E0020,2021-09-27
E0173,2021-09-30
E0254,2021-10-05
E0149,2021-10-10
E0052,2021-10-12
E0237,2021-10-14
E0088,2021-10-23
E0102,2021-11-01
E0256,2021-11-09
E0248,2021-11-21
E0232,2021-11-29
E0113,2021-12-01
E0120,2021-12-22
E0159,2021-12-31
E0195,2022-01-07
E0100,2022-01-08
E0053,2022-01-29
E0126,2022-01-30
E0060,2022-01-31
E0179,2022-02-26
E0087,2022-03-11
E0051,2022-03-13
E0038,2022-03-14
E0099,2022-03-24
E0103,2022-03-29
E0005,2022-04-03
E0200,2022-04-07
E0242,2022-04-24
E0219,2022-04-28
E0136,2022-05-03
E0194,2022-05-11
E0267,2022-05-20
E0097,2022-05-24
E0146,2022-05-29
E0166,2022-06-03
E0128,2022-06-03
E0196,2022-06-16
E0117,2022-06-21
E0155,2022-06-26
E0213,2022-06-27
E0295,2022-06-29
E0212,2022-07-08
E0106,2022-07-30
E0210,2022-08-08
E0132,2022-08-09
E0164,2022-08-15
E0009,2022-08-22
E0197,2022-08-24
E0292,2022-08-29
E0003,2022-09-09
E0186,2022-09-23
E0299,2022-09-28
E0176,2022-10-02
E0119,2022-10-06
E0289,2022-10-21
E0214,2022-11-05
E0036,2022-11-06
E0044,2022-11-10
E0042,2022-11-26
E0015,2022-11-29
E0269,2022-11-30
E0215,2022-12-03
E0261,2022-12-04
E0279,2022-12-18
E0257,2022-12-20
E0031,2022-12-26
E0048,2023-01-01
E0236,2023-01-05
E0285,2023-01-05
E0122,2023-01-17
E0188,2023-01-20
E0252,2023-01-20
E0153,2023-01-23
E0171,2023-01-25
E0288,2023-02-02
E0037,2023-02-03
E0226,2023-02-07
E0190,2023-02-15
E0270,2023-02-21
E0070,2023-02-22
E0280,2023-02-28
E0241,2023-03-03
E0077,2023-03-07
E0263,2023-03-07
E0205,2023-03-09
E0199,2023-03-18
E0017,2023-03-18
E0059,2023-03-26
E0084,2023-03-31
E0218,2023-04-03
E0028,2023-04-06
E0268,2023-04-19
E0151,2023-04-20
E0163,2023-04-29
E0080,2023-05-01
E0029,2023-05-03
E0170,2023-05-17
E0222,2023-05-18
E0112,2023-05-30
E0066,2023-05-30
E0165,2023-06-13
E0013,2023-06-19
E0144,2023-06-23
E0074,2023-06-23
E0064,2023-07-02
E0105,2023-07-17
E0277,2023-07-18
E0075,2023-07-19
E0141,2023-07-19
E0223,2023-07-22
E0231,2023-07-23
E0160,2023-08-02
E0228,2023-08-07
E0065,2023-08-08
E0127,2023-08-09
E0026,2023-08-12
E0192,2023-08-24
E0286,2023-08-26
E0135,2023-09-02
E0240,2023-09-03
E0235,2023-09-05
E0118,2023-09-06
E0211,2023-09-19
E0207,2023-09-21
E0244,2023-09-24
E0030,2023-09-26
E0121,2023-09-29
E0071,2023-09-30
E0183,2023-10-09
E0131,2023-10-09
E0172,2023-10-21
E0167,2023-10-30
E0184,2023-11-01
E0216,2023-11-03
E0290,2023-11-05
E0108,2023-11-16
E0107,2023-11-18
E0276,2023-11-23
E0206,2023-11-30
E0095,2023-12-05
E0045,2023-12-06
E0278,2023-12-09
E0004,2023-12-10
E0156,2023-12-15
E0096,2023-12-16
E0058,2023-12-20
E0114,2024-01-07
E0272,2024-01-07
E0055,2024-01-11
E0035,2024-01-22
E0081,2024-01-23
E0110,2024-01-25
E0085,2024-01-28
E0266,2024-01-28
E0239,2024-01-29
E0193,2024-01-31
E0238,2024-02-01
E0025,2024-02-06
E0255,2024-02-09
E0083,2024-02-15
E0229,2024-03-03
E0260,2024-03-03
E0284,2024-03-15
E0130,2024-03-24
E0008,2024-03-24
E0062,2024-04-11
E0014,2024-04-16
E0054,2024-04-17
E0298,2024-04-20
E0209,2024-04-23
E0082,2024-04-25
E0296,2024-04-26
E0039,2024-05-09
E0283,2024-05-10
E0043,2024-05-11
E0142,2024-05-16
E0006,2024-05-29
E0137,2024-06-06
E0124,2024-06-07
E0162,2024-06-08
E0109,2024-06-10
E0143,2024-06-12
E0234,2024-06-17
E0116,2024-06-17
E0245,2024-06-23
E0177,2024-06-26
E0150,2024-07-03
E0250,2024-07-08
E0264,2024-07-18
E0293,2024-07-28
E0294,2024-07-29
E0225,2024-07-29
E0076,2024-07-31
E0154,2024-08-02
E0230,2024-08-11
E0016,2024-08-21
E0203,2024-08-24
E0023,2024-08-29
E0022,2024-09-04
E0202,2024-09-06
E0093,2024-09-07
E0224,2024-09-09
E0204,2024-09-14
E0273,2024-09-18
E0262,2024-09-20
E0249,2024-09-26
E0007,2024-10-02
E0168,2024-10-15
E0098,2024-10-21
E0275,2024-10-25
E0139,2024-10-27
E0157,2024-10-29
E0148,2024-11-01
E0061,2024-11-02
E0220,2024-11-09
E0046,2024-11-10
E0274,2024-11-13
E0198,2024-11-18
E0145,2024-12-04
E0104,2024-12-05
E0181,2024-12-10
E0101,2024-12-28
E0063,2024-12-30
E0123,2025-01-23
E0001,2025-01-24
E0027,2025-01-25
E0251,2025-01-30
E0243,2025-02-16
E0047,2025-02-19
E0281,2025-02-20
E0253,2025-02-22
E0152,2025-03-03
E0258,2025-03-09
E0233,2025-03-21
E0138,2025-03-22
E0185,2025-03-23
E0201,2025-04-30
E0079,2025-05-02
E0129,2025-05-05
E0247,2025-05-05
E0187,2025-05-09
E0033,2025-05-14
E0282,2025-05-30
E0057,2025-06-04
E0073,2025-06-05
E0021,2025-06-11
E0049,2025-06-23
E0024,2025-06-26
E0092,2025-06-27
E0011,2025-08-04
E0133,2025-08-18
E0086,2025-08-31
E0182,2025-09-21
E0217,2025-09-23
E0034,2025-09-23
E0169,2025-10-10
E0287,2025-10-14
E0300,2025-10-23
E0178,2025-10-31
E0140,2025-11-02
E0068,2025-11-04
E0010,2025-11-12
E0297,2025-11-13
E0050,2025-11-19
E0041,2025-11-19
E0072,2025-11-30
E0147,2025-12-04
E0067,2025-12-04
E0111,2025-12-09
E0265,2025-12-15
E0259,2025-12-18
E0069,2025-12-23
E0078,2025-12-28
E0180,2025-12-30
E0246,2025-12-30
