EmployeeID,TerminationDate,TerminationReason,LastBaseSalaryVND
E0056,2021-05-12,Thu nhập,14180587
E0164,2023-03-18,Thu nhập,10098595
E0171,2023-03-21,Ca kíp/Áp lực,17385353
E0037,2023-08-03,Cơ hội nghề nghiệp,16944585
E0289,2023-09-15,Cơ hội nghề nghiệp,10970919
E0075,2023-10-11,Cơ hội nghề nghiệp,15459802
E0197,2023-10-29,Hiệu suất/Kỷ luật,17039937
E0064,2023-11-17,Thu nhập,16313549
E0276,2024-02-10,Cơ hội nghề nghiệp,14422538
E0184,2024-03-20,Sức khỏe/Cá nhân,12925042
E0255,2024-03-31,Cơ hội nghề nghiệp,15558530
E0167,2024-05-13,Cơ hội nghề nghiệp,9333584
E0223,2024-05-22,Chuyển nơi ở,16065560
E0295,2024-05-28,Thu nhập,8290810
E0035,2024-05-31,Cơ hội nghề nghiệp,17118869
E0163,2024-06-14,Ca kíp/Áp lực,13843085
E0279,2024-07-18,Sức khỏe/Cá nhân,16518036
E0298,2024-08-17,Thu nhập,14729535
E0085,2024-09-17,Cơ hội nghề nghiệp,13472548
E0142,2024-09-26,Ca kíp/Áp lực,15526727
E0017,2024-10-03,Thu nhập,15502686
E0270,2024-11-23,Chuyển nơi ở,10683725
E0054,2024-12-13,Hiệu suất/Kỷ luật,8066876
E0104,2025-01-07,Hiệu suất/Kỷ luật,10497973
E0220,2025-02-03,Ca kíp/Áp lực,17599539
E0023,2025-04-21,Ca kíp/Áp lực,12041927
E0026,2025-05-03,Thu nhập,16462722
E0181,2025-05-23,Cơ hội nghề nghiệp,10244767
E0229,2025-06-07,Thu nhập,14000376
E0283,2025-06-07,Hiệu suất/Kỷ luật,9202330
E0230,2025-06-17,Hiệu suất/Kỷ luật,8286614
E0103,2025-06-30,Thu nhập,17729789
E0222,2025-07-09,Thu nhập,16748000
E0185,2025-07-10,Cơ hội nghề nghiệp,15226423
E0262,2025-07-22,Cơ hội nghề nghiệp,16099769
E0101,2025-07-22,Thu nhập,12337126
E0204,2025-07-24,Thu nhập,15092074
E0022,2025-08-08,Thu nhập,10381581
E0057,2025-08-10,Thu nhập,11078145
E0123,2025-08-11,Ca kíp/Áp lực,8216271
E0243,2025-08-14,Hiệu suất/Kỷ luật,13892024
E0143,2025-08-20,Chuyển nơi ở,16342243
E0281,2025-08-26,Chuyển nơi ở,10481024
E0011,2025-09-06,Cơ hội nghề nghiệp,9832316
E0148,2025-09-14,Thu nhập,11117598
E0299,2025-09-22,Hiệu suất/Kỷ luật,8235054
E0145,2025-10-01,Ca kíp/Áp lực,12126261
E0105,2025-10-09,Thu nhập,16193927
E0296,2025-10-09,Ca kíp/Áp lực,12412869
E0074,2025-10-13,Ca kíp/Áp lực,8615149
E0016,2025-10-22,Hiệu suất/Kỷ luật,12269170
E0112,2025-10-24,Thu nhập,16155997
E0063,2025-11-05,Chuyển nơi ở,8405267
E0128,2025-11-07,Sức khỏe/Cá nhân,14455556
E0082,2025-11-13,Ca kíp/Áp lực,15554147
E0217,2025-12-02,Ca kíp/Áp lực,10803643
E0124,2025-12-08,Thu nhập,9610075
E0162,2025-12-18,Cơ hội nghề nghiệp,12089221
E0169,2025-12-24,Sức khỏe/Cá nhân,13974377
E0072,2025-12-30,Ca kíp/Áp lực,16843877
