ExpenseDate,ExpenseType,Amount_VND
2024-01-01,Lương nhân viên,27169533
2024-01-02,Lương nhân viên,27232501
2024-01-03,Lương nhân viên,26474591
2024-01-04,Lương nhân viên,28850632
2024-01-05,Lương nhân viên,26444553
2024-01-06,Lương nhân viên,24531494
2024-01-07,Lương nhân viên,27374554
2024-01-08,Lương nhân viên,26936723
2024-01-09,Lương nhân viên,28736122
2024-01-10,Lương nhân viên,25207700
2024-01-11,Lương nhân viên,29007097
2024-01-12,Lương nhân viên,24062206
2024-01-13,Lương nhân viên,28147996
2024-01-14,Lương nhân viên,24512146
2024-01-15,Lương nhân viên,24567889
2024-01-16,Lương nhân viên,25043203
2024-01-17,Lương nhân viên,27232677
2024-01-18,Lương nhân viên,24708274
2024-01-19,Lương nhân viên,27490999
2024-01-20,Lương nhân viên,23826149
2024-01-21,Lương nhân viên,26768148
2024-01-22,Lương nhân viên,24826907
2024-01-23,Lương nhân viên,25567097
2024-01-24,Lương nhân viên,25307406
2024-01-25,Lương nhân viên,26670789
2024-01-26,Lương nhân viên,25991475
2024-01-27,Lương nhân viên,26746838
2024-01-28,Lương nhân viên,25544454
2024-01-29,Lương nhân viên,27855755
2024-01-30,Lương nhân viên,25591446
2024-01-31,Lương nhân viên,28458670
2024-02-01,Lương nhân viên,30178588
2024-02-02,Lương nhân viên,30060496
2024-02-03,Lương nhân viên,27823209
2024-02-04,Lương nhân viên,25688725
2024-02-05,Lương nhân viên,27493542
2024-02-06,Lương nhân viên,25554653
2024-02-07,Lương nhân viên,30223901
2024-02-08,Lương nhân viên,26047081
2024-02-09,Lương nhân viên,28096292
2024-02-10,Lương nhân viên,27882166
2024-02-11,Lương nhân viên,25512836
2024-02-12,Lương nhân viên,29809681
2024-02-13,Lương nhân viên,26822445
2024-02-14,Lương nhân viên,28852781
2024-02-15,Lương nhân viên,30378177
2024-02-16,Lương nhân viên,28734536
2024-02-17,Lương nhân viên,28170218
2024-02-18,Lương nhân viên,28872119
2024-02-19,Lương nhân viên,28520235
2024-02-20,Lương nhân viên,30291883
2024-02-21,Lương nhân viên,28855328
2024-02-22,Lương nhân viên,25750539
2024-02-23,Lương nhân viên,26594086
2024-02-24,Lương nhân viên,26070253
2024-02-25,Lương nhân viên,28410803
2024-02-26,Lương nhân viên,26206824
2024-02-27,Lương nhân viên,31014059
2024-02-28,Lương nhân viên,25430258
2024-02-29,Lương nhân viên,25670734
2024-03-01,Lương nhân viên,25864426
2024-03-02,Lương nhân viên,26761583
2024-03-03,Lương nhân viên,25668672
2024-03-04,Lương nhân viên,27356493
2024-03-05,Lương nhân viên,25211458
2024-03-06,Lương nhân viên,24169344
2024-03-07,Lương nhân viên,24955290
