SalesDate,CustomerID,ProductID,SaleID,Quantity,Revenue_VND,COGS_VND
2024-01-01,C019,P015,S008,2,1709088,1300102
2024-01-01,C009,P012,S008,4,751496,541918
2024-01-01,C002,P002,S005,20,666320,558925
2024-01-01,C011,P014,S008,1,4953065,2979088
2024-01-01,C007,P005,S006,8,23892016,16225867
2024-01-01,C001,P014,S007,7,22557696,16612962
2024-01-01,C017,P012,S007,3,1295160,1019015
2024-01-01,C018,P003,S008,10,775750,587756
2024-01-01,C017,P005,S007,5,13976865,10915482
2024-01-01,C012,P003,S001,14,1294118,981954
2024-01-01,C006,P018,S002,7,13922566,10503833
2024-01-01,C016,P009,S005,1,102498,85985
2024-01-01,C006,P002,S006,11,337029,253097
2024-01-01,C011,P018,S007,6,17693424,12539717
2024-01-01,C003,P015,S008,5,8772285,6739115
2024-01-01,C013,P005,S006,3,3991410,2888689
2024-01-01,C001,P013,S004,9,14371533,8789391
2024-01-01,C019,P005,S002,7,8178877,6477614
2024-01-01,C012,P012,S001,7,1471407,1090393
2024-01-01,C012,P013,S004,1,1491045,974239
2024-01-01,C013,P009,S001,1,115226,91865
2024-01-01,C010,P004,S008,2,5798126,4187020
2024-01-01,C008,P018,S008,5,27473050,19464137
2024-01-01,C006,P012,S003,13,3677245,2871130
2024-01-01,C018,P017,S008,1,136024,103161
2024-01-01,C013,P015,S008,11,43508212,30633468
2024-01-01,C002,P003,S001,8,862640,741825
2024-01-01,C005,P011,S008,6,1381494,1057777
2024-01-01,C007,P012,S001,7,2021985,1548307
2024-01-01,C009,P003,S006,8,747768,645234
2024-01-01,C009,P005,S007,10,44518800,29355755
2024-01-01,C014,P017,S001,8,1464400,1121137
2024-01-01,C004,P009,S002,6,494790,374610
2024-01-01,C017,P015,S006,7,7797447,5071012
2024-01-01,C003,P001,S002,9,666414,535313
2024-01-01,C014,P010,S001,9,474876,365276
2024-01-01,C018,P006,S007,8,24179520,14619818
2024-01-01,C003,P008,S007,2,48868,38368
2024-01-01,C001,P002,S006,13,440323,332247
2024-01-01,C009,P008,S008,8,610280,514738
2024-01-01,C002,P013,S006,1,4003095,2760655
2024-01-01,C014,P009,S006,1,60449,48929
2024-01-01,C001,P006,S003,9,9606735,5940046
2024-01-01,C014,P016,S002,16,4115760,3021828
2024-01-01,C005,P008,S006,1,86895,62351
2024-01-01,C008,P014,S002,4,9523592,6556158
2024-01-01,C002,P013,S007,14,71863568,45172321
2024-01-01,C018,P016,S005,5,1122265,810985
2024-01-01,C005,P007,S005,8,572312,432431
2024-01-02,C013,P004,S006,7,1559453,1101124
2024-01-02,C005,P008,S006,8,410072,346348
2024-01-02,C017,P017,S002,1,79924,60994
2024-01-02,C006,P009,S007,5,446645,347965
2024-01-02,C014,P005,S001,8,15637776,11864575
2024-01-02,C005,P014,S008,11,31043034,21102323
2024-01-02,C001,P015,S006,7,16415098,11455389
2024-01-02,C015,P007,S008,1,31127,23040
2024-01-02,C010,P004,S007,14,34982794,22900063
2024-01-02,C001,P018,S003,1,1920138,1499048
2024-01-02,C017,P017,S006,3,164214,107848
2024-01-02,C017,P011,S003,1,135796,99528
2024-01-02,C011,P013,S002,13,39827151,27504463
2024-01-02,C018,P018,S006,12,52078320,39069165
2024-01-02,C008,P008,S006,16,983664,755512
2024-01-02,C003,P014,S005,6,25332360,15553552
2024-01-02,C017,P007,S004,7,335405,254814
2024-01-02,C007,P003,S006,13,516607,447892
2024-01-02,C009,P009,S007,7,639730,558290
2024-01-02,C002,P016,S002,10,2739350,1840583
2024-01-02,C007,P003,S004,1,97158,76893
2024-01-02,C001,P009,S004,16,518080,430166
2024-01-02,C009,P009,S004,1,112831,87131
2024-01-02,C003,P005,S006,13,63260743,41795054
2024-01-02,C003,P008,S006,2,57910,43028
2024-01-02,C018,P004,S003,9,14906961,11907243
2024-01-02,C018,P006,S003,21,33928209,24232855
2024-01-02,C016,P013,S008,12,19484040,12001766
2024-01-02,C013,P014,S001,7,36427083,23994132
2024-01-02,C009,P012,S008,10,2202140,1748567
2024-01-02,C011,P011,S007,16,6471888,4481888
2024-01-02,C008,P004,S003,9,52815753,35834226
2024-01-02,C020,P005,S001,10,25228140,19115964
2024-01-02,C020,P008,S008,13,1000051,773988
2024-01-02,C011,P017,S002,12,2558220,2042234
2024-01-02,C002,P006,S006,12,32671764,23264224
2024-01-02,C015,P011,S006,12,5452152,3961473
2024-01-02,C014,P010,S006,6,463572,401914
2024-01-02,C012,P016,S004,10,569220,446823
2024-01-02,C015,P010,S006,6,208014,169531
2024-01-02,C007,P017,S003,8,1480336,1153302
2024-01-02,C013,P016,S001,4,1007328,760503
2024-01-02,C014,P015,S007,5,18651240,14262652
2024-01-02,C017,P017,S005,10,1072880,834043
2024-01-02,C006,P013,S007,13,22222044,13889035
2024-01-02,C012,P010,S002,4,356536,290349
2024-01-02,C010,P007,S002,4,153276,110505
2024-01-02,C009,P004,S006,3,17441181,12092080
2024-01-03,C002,P009,S007,1,105325,79934
2024-01-03,C002,P017,S007,12,2333568,1691804
2024-01-03,C010,P007,S002,11,754413,566958
2024-01-03,C015,P001,S006,4,431232,333209
2024-01-03,C008,P001,S008,4,151608,116700
2024-01-03,C009,P013,S008,9,48329811,31683001
2024-01-03,C019,P006,S006,13,11513541,8165955
2024-01-03,C008,P003,S008,13,1384708,1190428
2024-01-03,C017,P001,S005,14,1132446,975364
2024-01-03,C011,P018,S001,8,16065440,11211263
2024-01-03,C006,P007,S002,5,204965,143947
2024-01-03,C001,P008,S007,7,406966,296106
2024-01-03,C016,P009,S003,7,581546,466901
2024-01-03,C016,P002,S001,7,365414,307393
2024-01-03,C016,P013,S003,4,8651332,5482031
2024-01-03,C011,P002,S006,9,948114,716425
2024-01-03,C008,P009,S001,5,448595,376826
2024-01-03,C015,P010,S005,6,456594,377073
2024-01-03,C019,P014,S001,6,31328070,21253113
2024-01-03,C011,P014,S007,13,38322830,25235733
2024-01-03,C008,P018,S002,7,37261777,29552558
2024-01-03,C009,P014,S005,5,19060900,11514964
2024-01-03,C006,P007,S007,1,60669,45390
2024-01-03,C012,P008,S007,12,1066536,811658
2024-01-03,C002,P007,S001,1,77794,63948
2024-01-03,C016,P001,S003,11,931535,762403
2024-01-03,C007,P016,S001,1,164481,125331
2024-01-03,C009,P002,S003,8,314936,245232
2024-01-03,C017,P018,S004,2,5185494,3992029
2024-01-03,C010,P002,S008,13,1387386,1072221
2024-01-03,C015,P013,S004,13,63526242,42943253
2024-01-03,C010,P004,S002,24,94102728,64776829
2024-01-03,C004,P012,S008,9,3026079,2469131
2024-01-03,C020,P018,S005,1,3652569,2850258
2024-01-03,C007,P016,S002,12,965124,650503
2024-01-03,C013,P004,S007,3,4042833,2828205
2024-01-03,C015,P001,S002,1,44676,36660
2024-01-03,C002,P008,S007,5,173335,140677
2024-01-03,C014,P017,S006,5,1257435,875452
2024-01-03,C005,P008,S008,4,290152,223572
2024-01-03,C005,P015,S004,7,29516109,20625071
2024-01-03,C007,P017,S004,8,1697928,1294870
2024-01-03,C002,P003,S004,8,713272,606355
2024-01-04,C007,P013,S002,3,14088618,9837281
2024-01-04,C013,P008,S001,11,397397,292207
2024-01-04,C001,P009,S007,7,326760,247513
2024-01-04,C011,P012,S001,1,145069,118510
2024-01-04,C002,P008,S004,2,111038,89687
2024-01-04,C014,P004,S005,11,53027777,34601289
2024-01-04,C006,P006,S005,5,15495830,10526717
2024-01-04,C004,P004,S005,11,14966336,10934964
2024-01-04,C011,P013,S004,1,5971571,3866820
2024-01-04,C017,P009,S001,10,827340,684478
2024-01-04,C012,P003,S003,12,1303656,1060518
2024-01-04,C015,P009,S004,12,553764,462165
2024-01-04,C014,P018,S004,1,334846,246196
2024-01-04,C017,P015,S007,14,54058130,39080955
2024-01-04,C013,P013,S004,15,63950280,39680366
2024-01-04,C013,P017,S002,8,801624,534064
2024-01-04,C016,P014,S001,12,46354788,34557423
2024-01-04,C010,P017,S003,7,429807,306164
2024-01-04,C016,P004,S002,2,10826662,7564110
2024-01-04,C005,P005,S002,8,33542408,24467426
2024-01-04,C015,P009,S006,1,55536,42560
2024-01-04,C018,P008,S001,6,196428,166894
2024-01-04,C015,P018,S006,6,15899040,12098819
2024-01-04,C010,P017,S006,11,957517,744984
2024-01-04,C007,P018,S007,9,9971433,7623921
2024-01-04,C002,P004,S002,6,23348550,16916597
2024-01-04,C017,P015,S002,14,40574926,28865786
2024-01-04,C019,P014,S006,3,2545290,1794442
2024-01-04,C003,P013,S004,3,14410296,8750876
2024-01-04,C013,P010,S003,12,1329624,1153130
2024-01-04,C014,P006,S003,11,12857548,9413947
2024-01-04,C016,P002,S003,19,1243360,1081723
2024-01-04,C001,P018,S003,8,14542104,9553508
2024-01-04,C003,P017,S006,3,498657,369367
2024-01-04,C002,P013,S002,1,5450684,4063029
2024-01-04,C005,P008,S004,12,976008,825315
2024-01-04,C015,P003,S007,11,848243,681148
2024-01-04,C007,P007,S007,1,23795,18656
2024-01-04,C002,P013,S001,9,32971077,23312020
2024-01-04,C005,P014,S002,12,31077444,21897566
2024-01-04,C015,P017,S002,4,406840,293725
2024-01-04,C005,P011,S001,11,3023207,2434517
2024-01-04,C012,P015,S008,11,16220567,12440031
2024-01-04,C007,P001,S004,4,278844,224368
2024-01-04,C008,P015,S007,3,15468234,11845420
2024-01-04,C011,P004,S003,14,55033006,41629449
2024-01-04,C003,P004,S001,9,31195458,24082983
2024-01-04,C010,P016,S006,16,1204576,831785
2024-01-04,C013,P009,S006,1,85513,69560
2024-01-05,C008,P005,S001,8,2003272,1477409
