DateKey,CampaignKey,ChannelKey,ProductKey,Spend,Impressions,Clicks,Leads,Conversions,Revenue
01/01/2024,1,3,1,56972599,333410,17382,5054,493,98745810
08/01/2024,1,3,1,71490611,510484,32433,8428,599,119905626
08/01/2024,1,1,1,51853608,724318,53794,14953,611,122256717
15/01/2024,1,3,1,45328181,671723,50421,13452,458,91692538
15/01/2024,1,1,1,85599446,443624,32161,9427,846,169278531
22/01/2024,1,3,1,106139732,889546,49457,13245,1175,235109071
29/01/2024,1,3,1,99276593,661526,45449,13470,963,192789438
29/01/2024,1,1,1,154363384,923566,63307,17160,1798,359716878
05/02/2024,1,3,1,18602867,384783,28840,8049,187,37462912
12/02/2024,1,3,1,17536217,257656,14563,4160,175,35045950
19/02/2024,1,3,1,56395004,754092,39917,11564,640,128098987
03/02/2024,1,2,1,16115800,262886,17672,5234,241,48339241
03/02/2024,1,4,3,27207298,309382,24106,7035,507,101512406
04/02/2024,1,2,1,9295509,125515,9174,2520,151,30212026
04/02/2024,1,4,3,28686372,420460,22763,6018,519,103929368
05/02/2024,1,2,1,28922466,263706,19666,5092,465,93053039
05/02/2024,1,4,3,9264435,129447,9688,2556,151,30212026
06/02/2024,1,2,1,31607459,276088,18092,5357,483,96678482
06/02/2024,1,4,3,9996526,259035,17406,4550,181,36254431
07/02/2024,1,2,1,29559787,375273,21655,6032,453,90636077
07/02/2024,1,4,3,26668524,321403,16633,4541,501,100303925
08/02/2024,1,2,1,16720676,122930,7764,2091,265,53173165
08/02/2024,1,4,3,13180741,154726,9102,2506,223,44713798
09/02/2024,1,2,1,9477317,104114,6377,1707,132,26586582
10/02/2024,1,2,1,19715951,227247,15054,4246,320,64049494
10/02/2024,1,4,3,9940718,143675,8991,2533,181,36254431
11/02/2024,1,2,1,14460299,98396,5639,1415,211,42296836
12/02/2024,1,2,1,19410209,185626,13419,3620,271,54381646
13/02/2024,1,2,1,20138414,257459,15881,4138,277,55590127
13/02/2024,1,4,3,9815604,101529,6388,1624,181,36254431
14/02/2024,1,2,1,11094791,180313,13689,3791,157,31420507
15/02/2024,1,2,1,6976976,111354,5642,1464,108,21752658
16/02/2024,1,2,1,9503254,181285,11932,3369,138,27795063
17/02/2024,1,2,1,12230296,103799,5382,1428,181,36254431
17/02/2024,1,4,3,11967184,132165,8988,2495,181,36254431
20/05/2024,2,3,1,90067926,992295,54821,14505,866,173282236
20/05/2024,2,2,3,69353711,549794,29703,8626,965,193085921
27/05/2024,2,3,1,13089584,283532,19950,5689,123,24754605
27/05/2024,2,2,3,207540536,1937608,127216,37764,2871,574306841
03/06/2024,2,3,1,94629653,622911,34525,9356,776,155289286
10/06/2024,2,3,1,125942100,1230065,78330,22506,1103,220674249
17/06/2024,2,3,1,44531770,254706,15422,3913,435,87179950
17/06/2024,2,2,3,29138299,517206,40804,10816,449,89904324
24/06/2024,2,3,1,112615502,732585,47505,12269,1198,239744863
24/06/2024,2,2,3,119622126,598704,37992,11129,1675,335097933
01/07/2024,2,3,1,20532410,527880,32009,8698,207,41523567
08/07/2024,2,3,1,14866416,315791,19911,5656,143,28747085
08/07/2024,2,2,3,72596755,1004001,74215,20795,1157,231573739
15/07/2024,2,3,1,76536261,1040303,83071,21675,670,134153063
15/07/2024,2,2,3,210096576,1693800,111214,30757,2794,558971094
22/07/2024,2,3,1,36043120,582611,34685,10061,375,75061833
29/07/2024,2,3,1,47749853,612754,42676,10765,487,97420676
