OrderID,OrderDate,ProductID,CustomerID,BranchID,Quantity,Revenue,Profit,Channel
2024-Q2-00001,2024-05-13,AC-1HP-CS,C049,B15,1,8651000.0,1448000.0,Offline
2024-Q2-00002,2024-04-25,KTL-ELUX-17,C017,B06,1,732000.0,100000.0,Online
2024-Q2-00003,2024-05-13,VAC-PANA-16,C084,B17,1,2583000.0,464000.0,Online
2024-Q2-00004,2024-05-20,AC-15HP-CP,C055,B18,1,7659000.0,1164000.0,Online
2024-Q2-00005,2024-06-15,FAN-ASIA-40,C084,B14,3,1800000.0,271000.0,Online
2024-Q2-00006,2024-04-30,AC-1HP-CP,C038,B19,2,11844000.0,1860000.0,Offline
2024-Q2-00007,2024-05-21,RC-TOSH-18,C046,B14,1,1612000.0,273000.0,Offline
2024-Q2-00008,2024-04-01,VAC-ELUX-18,C006,B16,1,2016000.0,272000.0,Offline
2024-Q2-00009,2024-06-24,KTL-ELUX-17,C062,B04,1,768000.0,116000.0,Online
2024-Q2-00010,2024-05-25,AC-15HP-CS,C087,B19,2,22693000.0,2845000.0,Online
2024-Q2-00011,2024-06-20,FAN-PANA-45,C035,B07,2,2225000.0,334000.0,Online
2024-Q2-00012,2024-05-09,RC-SHARP-20,C011,B12,1,1924000.0,243000.0,Online
2024-Q2-00013,2024-05-12,FAN-ASIA-40,C052,B16,2,1190000.0,189000.0,Offline
2024-Q2-00014,2024-05-23,FAN-ASIA-40,C027,B08,2,1245000.0,214000.0,Offline
2024-Q2-00015,2024-06-15,VAC-ELUX-18,C065,B18,1,2111000.0,341000.0,Online
2024-Q2-00016,2024-05-30,FAN-PANA-45,C076,B14,2,2259000.0,351000.0,Online
2024-Q2-00017,2024-04-17,FAN-PANA-45,C053,B08,2,2172000.0,308000.0,Online
2024-Q2-00018,2024-06-07,AIR-PURI-40,C012,B10,1,4979000.0,774000.0,Offline
2024-Q2-00019,2024-06-25,VAC-ELUX-18,C079,B13,2,4489000.0,755000.0,Offline
2024-Q2-00020,2024-05-29,MW-PANA-25,C060,B15,3,9793000.0,1681000.0,Offline
2024-Q2-00021,2024-05-07,AC-15HP-CS,C085,B17,2,21626000.0,2992000.0,Online
2024-Q2-00022,2024-04-25,WH-ARIST-30,C064,B20,2,6786000.0,950000.0,Online
2024-Q2-00023,2024-05-05,AC-1HP-CP,C011,B15,2,11956000.0,2003000.0,Online
2024-Q2-00024,2024-06-14,FAN-ASIA-40,C036,B05,3,1884000.0,291000.0,Offline
2024-Q2-00025,2024-04-05,AIR-PURI-60,C053,B08,1,7002000.0,1175000.0,Online
2024-Q2-00026,2024-04-10,FAN-ASIA-40,C100,B01,2,1121000.0,186000.0,Offline
2024-Q2-00027,2024-04-21,VAC-ELUX-18,C052,B15,1,2233000.0,299000.0,Offline
2024-Q2-00028,2024-06-24,AC-1HP-CP,C087,B02,1,5836000.0,922000.0,Online
2024-Q2-00029,2024-06-16,AC-15HP-CS,C059,B18,1,9909000.0,1555000.0,Offline
2024-Q2-00030,2024-05-04,VAC-PANA-16,C055,B02,2,5189000.0,840000.0,Offline
2024-Q2-00031,2024-04-01,RC-TOSH-18,C049,B09,2,3189000.0,447000.0,Offline
2024-Q2-00032,2024-06-19,AC-15HP-CS,C077,B08,1,10708000.0,1481000.0,Online
2024-Q2-00033,2024-05-27,AIR-PURI-40,C037,B01,2,9383000.0,1583000.0,Online
2024-Q2-00034,2024-04-08,AC-15HP-CS,C054,B07,1,10962000.0,1336000.0,Offline
